MAT	B0F	B0E	B0H	DMI	DZH	REG
0S	LY	0T	UR	00	K5	AR
0S	LY	0T	G0	00	K5	AR
0S	LY	0T	F0	00	K5	AR
0S	ZI	0Q	V0	00	K0	AR
0S	ZI	0Q	T0	00	K0	AR
0S	ZI	0Q	M0	00	K0	AR
0S	ZI	0Q	J0	00	K0	AR
0S	ZI	0Q	FY	00	K0	AR
0S	ZI	0Q	F0	00	K0	AR
0S	ZI	0Q	C0	00	K0	AR
0S	ZI	0Q	B0	00	K0	AR
0S	ZI	0J	JX	00	K0	AR
0S	ZI	0J	J0	00	K0	AR
0S	ES	0Q	V0	00	K0	AR
0S	ES	0Q	T0	00	K0	AR
0S	ES	0Q	M0	00	K0	AR
0S	ES	0Q	J0	00	K0	AR
0S	ES	0Q	C0	00	K0	AR
0S	ES	0Q	B0	00	K0	AR
0S	ES	0J	J0	00	K0	AR
0S	ZI	0J	U0	00	HU	AR
0S	ZI	0J	T0	00	HU	AR
0S	ZI	0J	C0	00	HU	AR
0S	ZI	0J	B0	00	HU	AR
0S	ZI	0U	V0	00	K4	AR
0S	ZI	0U	UB	00	K4	AR
0S	ZI	0U	T0	00	K4	AR
0S	ZI	0U	M0	00	K4	AR
0S	ZI	0U	J0	00	K4	AR
0S	ZI	0U	GC	00	K4	AR
0S	ZI	0U	EE	00	K4	AR
0S	ZI	0U	C0	00	K4	AR
0S	ZI	0U	B0	00	K4	AR
0S	LY	0P	UR	00	K3	AR
0S	LY	0P	G0	00	K3	AR
0S	L8	0P	B0	00	K1	AR
0S	L8	0P	B0	00	K0	AR
0S	P6	0P	T0	00	K1	AR
0S	P6	0P	T0	00	K0	AR
0S	P6	0P	B0	00	K1	AR
0S	P6	0P	B0	00	K0	AR
0S	L6	0P	T0	00	K1	AR
0S	L6	0P	T0	00	K0	AR
0S	L6	0P	B0	00	K1	AR
0S	L6	0P	B0	00	K0	AR
0S	JG	0P	T0	00	K1	AR
0S	JG	0P	T0	00	K0	AR
0S	JG	0P	B0	00	K1	AR
0S	JG	0P	B0	00	K0	AR
0S	M6	0P	JR	00	K3	AR
0S	JH	0P	JR	00	K3	AR
0S	P6	0H	B0	00	K2	AR
0S	JH	0T	UB	00	K5	AR
0S	JH	0T	J0	00	K5	AR
0S	JH	0T	C0	00	K5	AR
0S	LY	0T	EE	00	K5	AR
0S	JG	0T	EE	00	K5	AR
0S	PR	0H	E0	00	K3	AR
0S	PR	0H	EE	00	K3	AR
0S	JG	0H	EE	00	K3	AR
0S	JG	0P	EE	00	K3	AR
0S	L6	0H	JR	00	K3	AR
0S	JU	0H	JR	00	K3	AR
0S	L6	0H	U0	00	HU	AR
0S	L6	0H	U0	00	G6	AR
0S	L6	0H	T0	00	HU	AR
0S	L6	0H	T0	00	G6	AR
0S	JU	0H	U0	00	HU	AR
0S	JU	0H	U0	00	G6	AR
0S	JU	0H	T0	00	HU	AR
0S	JU	0H	T0	00	G6	AR
0S	JG	0H	U0	00	HU	AR
0S	JG	0H	U0	00	G6	AR
0S	JG	0H	T0	00	HU	AR
0S	JG	0H	T0	00	G6	AR
0S	JU	0H	C0	00	HU	AR
0S	JU	0H	C0	00	G6	AR
0S	JG	0H	C0	00	HU	AR
0S	JG	0H	C0	00	G6	AR
0S	P6	0H	B0	00	HU	AR
0S	P6	0H	B0	00	G6	AR
0S	L6	0H	B0	00	HU	AR
0S	L6	0H	B0	00	G6	AR
0S	JU	0H	B0	00	HU	AR
0S	JU	0H	B0	00	G6	AR
0S	JG	0H	B0	00	HU	AR
0S	JG	0H	B0	00	G6	AR
0S	ES	0J	U0	00	HU	AR
0S	ES	0J	T0	00	HU	AR
0S	ES	0J	C0	00	HU	AR
0S	ES	0J	B0	00	HU	AR
0S	ES	0U	V0	00	K4	AR
0S	ES	0U	UB	00	K4	AR
0S	ES	0U	T0	00	K4	AR
0S	ES	0U	M0	00	K4	AR
0S	ES	0U	EE	00	K4	AR
0S	ES	0U	C0	00	K4	AR
0S	ES	0U	B0	00	K4	AR
0S	P6	0T	B0	00	K5	AR
0S	L6	0T	B0	00	K5	AR
0S	JH	0T	B0	00	K5	AR
0S	JG	0T	B0	00	K5	AR
0S	P6	0T	T0	00	K5	AR
0S	L6	0T	T0	00	K5	AR
0S	JH	0T	T0	00	K5	AR
0S	JG	0T	T0	00	K5	AR
0S	MT	0T	V0	00	K5	AR
0S	JU	0H	J0	00	K3	AR
0S	JG	0H	J0	00	K3	AR
0S	L6	0P	C0	00	K1	AR
0S	L6	0P	C0	00	K0	AR
0S	JG	0P	C0	00	K1	AR
0S	JG	0P	C0	00	K0	AR
0S	JH	0P	J0	00	K3	AR
0S	MT	0P	V0	00	K3	AR
0S	PR	0L	JR	00	JC	AQ
0S	MZ	0L	JR	00	JC	AQ
0S	L8	0L	JR	00	JC	AQ
0S	L6	0L	JR	00	JC	AQ
0S	JU	0L	JR	00	JC	AQ
0S	P6	0T	JR	00	KE	AQ
0S	NP	0T	JR	00	KE	AQ
0S	M6	0T	JR	00	KE	AQ
0S	P6	0L	JR	00	JB	AQ
0S	MN	0L	JR	00	JB	AQ
0S	NP	0R	JR	00	JC	AQ
0S	M6	0R	JR	00	JC	AQ
0S	P6	0L	B0	00	Z5	AQ
0S	P6	0L	B0	00	JA	AQ
0S	P6	0L	B0	00	HU	AQ
0S	P6	0L	B0	00	G6	AQ
0S	L8	0L	B0	00	Z5	AQ
0S	L8	0L	B0	00	JA	AQ
0S	L8	0L	B0	00	HU	AQ
0S	L8	0L	B0	00	G6	AQ
0S	L7	0L	B0	00	Z5	AQ
0S	L7	0L	B0	00	JA	AQ
0S	L7	0L	B0	00	HU	AQ
0S	L7	0L	B0	00	G6	AQ
0S	L6	0L	B0	00	Z5	AQ
0S	L6	0L	B0	00	JA	AQ
0S	L6	0L	B0	00	HU	AQ
0S	L6	0L	B0	00	G6	AQ
0S	JU	0L	B0	00	Z5	AQ
0S	JU	0L	B0	00	JA	AQ
0S	JU	0L	B0	00	HU	AQ
0S	JU	0L	B0	00	G6	AQ
0S	JG	0L	B0	00	Z5	AQ
0S	JG	0L	B0	00	JA	AQ
0S	JG	0L	B0	00	HU	AQ
0S	JG	0L	B0	00	G6	AQ
0S	L8	0H	B0	00	HU	AQ
0S	L7	0H	B0	00	HU	AQ
0S	L6	0H	B0	00	HU	AQ
0S	L8	0H	C0	00	HU	AQ
0S	L6	0H	C0	00	HU	AQ
0S	JU	0L	T0	00	Z5	AQ
0S	JU	0L	T0	00	JA	AQ
0S	JU	0L	U0	00	Z5	AQ
0S	JU	0L	U0	00	JA	AQ
0S	MU	0L	GL	00	JC	AQ
0S	LY	0L	GL	00	JC	AQ
0S	MU	0L	GE	00	JC	AQ
0S	LY	0L	GE	00	JC	AQ
0S	MT	0L	V0	00	JC	AQ
0S	PR	0L	UR	00	JC	AQ
0S	PR	0L	E0	00	JC	AQ
0S	Q5	0L	EE	00	JC	AQ
0S	PR	0L	EE	00	JC	AQ
0S	LY	0L	G0	00	JC	AQ
0S	LY	0L	F0	00	JC	AQ
0S	PR	0L	DB	00	JC	AQ
0S	LY	0L	DB	00	JC	AQ
0S	L8	0L	T0	00	Z5	AQ
