MAT	DFH	DYD	B0B	DHG	DNN	REG	
0S	01	01	0P	06	01	AT	
0S	01	01	0M	06	01	AT	
0S	01	01	0I	06	01	AT	
0S	01	01	0C	06	01	AT	
0S	05	00	0P	06	01	AT	
0S	05	00	0P	06	00	AT	
0S	05	00	0P	00	01	AT	
0S	05	00	0P	00	00	AT	
0S	05	00	0M	06	01	AT	
0S	05	00	0M	06	00	AT	
0S	05	00	0M	00	01	AT	
0S	05	00	0M	00	00	AT	
0S	05	00	0I	06	01	AT	
0S	05	00	0I	06	00	AT	
0S	05	00	0I	00	01	AT	
0S	05	00	0I	00	00	AT	
0S	05	00	0C	06	01	AT	
0S	05	00	0C	06	00	AT	
0S	05	00	0C	00	01	AT	
0S	05	00	0C	00	00	AT	
0S	01	00	0P	06	01	AT	
0S	01	00	0P	06	00	AT	
0S	01	00	0P	00	01	AT	
0S	01	00	0P	00	00	AT	
0S	01	00	0M	06	01	AT	
0S	01	00	0M	06	00	AT	
0S	01	00	0M	00	01	AT	
0S	01	00	0M	00	00	AT	
0S	01	00	0I	06	01	AT	
0S	01	00	0I	06	00	AT	
0S	01	00	0I	00	01	AT	
0S	01	00	0I	00	00	AT	
0S	01	00	0C	06	01	AT	
0S	01	00	0C	06	00	AT	
0S	01	00	0C	00	01	AT	
0S	01	00	0C	00	00	AT	
0S	05	01	0P	06	01	AT	
0S	05	01	0M	06	01	AT	
0S	05	01	0I	06	01	AT	
0S	05	01	0G	06	01	AT	
0S	05	01	0C	06	01	AT	
0S	05	00	0G	06	01	AT	
0S	05	00	0G	06	00	AT	
0S	05	00	0G	00	01	AT	
0S	05	00	0G	00	00	AT	
0S	01	00	0G	06	01	AT	
0S	01	00	0G	06	00	AT	
0S	01	00	0G	00	01	AT	
0S	01	00	0G	00	00	AT	
0S	05	01	0G	00	01	AT	
0S	01	01	0G	06	01	AT	
0S	01	01	0P	06	01	AQ	
0S	01	01	0I	06	01	AQ	
0S	01	01	0C	06	01	AQ	
0S	05	00	0P	06	01	AQ	
0S	05	00	0P	06	00	AQ	
0S	05	00	0P	05	01	AQ	
0S	05	00	0P	05	00	AQ	
0S	05	00	0P	00	01	AQ	
0S	05	00	0P	00	00	AQ	
0S	05	00	0M	06	01	AQ	
0S	05	00	0M	06	00	AQ	
0S	05	00	0M	05	01	AQ	
0S	05	00	0M	05	00	AQ	
0S	05	00	0M	00	01	AQ	
0S	05	00	0M	00	00	AQ	
0S	05	00	0I	06	01	AQ	
0S	05	00	0I	06	00	AQ	
0S	05	00	0I	05	01	AQ	
0S	05	00	0I	05	00	AQ	
0S	05	00	0I	00	01	AQ	
0S	05	00	0I	00	00	AQ	
0S	05	00	0C	06	01	AQ	
0S	05	00	0C	06	00	AQ	
0S	05	00	0C	05	01	AQ	
0S	05	00	0C	05	00	AQ	
0S	05	00	0C	00	01	AQ	
0S	05	00	0C	00	00	AQ	
0S	01	00	0P	06	01	AQ	
0S	01	00	0P	06	00	AQ	
0S	01	00	0P	05	01	AQ	
0S	01	00	0P	05	00	AQ	
0S	01	00	0P	00	01	AQ	
0S	01	00	0P	00	00	AQ	
0S	01	00	0M	06	01	AQ	
0S	01	00	0M	06	00	AQ	
0S	01	00	0M	05	01	AQ	
0S	01	00	0M	05	00	AQ	
0S	01	00	0M	00	01	AQ	
0S	01	00	0M	00	00	AQ	
0S	01	00	0I	06	01	AQ	
0S	01	00	0I	06	00	AQ	
0S	01	00	0I	05	01	AQ	
0S	01	00	0I	05	00	AQ	
0S	01	00	0I	00	01	AQ	
0S	01	00	0I	00	00	AQ	
0S	01	00	0C	06	01	AQ	
0S	01	00	0C	06	00	AQ	
0S	01	00	0C	05	01	AQ	
0S	01	00	0C	05	00	AQ	
0S	01	00	0C	00	01	AQ	
0S	01	00	0C	00	00	AQ	
0S	05	01	0P	06	01	AQ	
0S	05	01	0M	06	01	AQ	
0S	05	01	0I	06	01	AQ	
0S	05	01	0G	06	01	AQ	
0S	05	01	0C	06	01	AQ	
0S	05	00	0G	06	01	AQ	
0S	05	00	0G	06	00	AQ	
0S	05	00	0G	00	01	AQ	
0S	05	00	0G	00	00	AQ	
0S	01	00	0G	06	01	AQ	
0S	01	00	0G	06	00	AQ	
0S	01	00	0G	00	01	AQ	
0S	01	00	0G	00	00	AQ	
0S	05	01	0G	00	01	AQ	
0S	01	01	0G	06	01	AQ	
