MAT	DYD	B0E	DJA	DVB	REG	
0S	00	0W	12	04	AT	
0S	00	0V	12	04	AT	
0S	00	0T	12	04	AT	
0S	00	0S	12	04	AT	
0S	00	0Q	12	04	AT	
0S	00	0P	12	04	AT	
0S	00	0W	12	08	AT	
0S	00	0V	12	08	AT	
0S	00	0T	12	08	AT	
0S	00	0S	12	08	AT	
0S	00	0Q	12	08	AT	
0S	00	0P	12	08	AT	
0S	01	0N	18	08	AT	
0S	01	0N	18	04	AT	
0S	01	04	18	08	AT	
0S	01	04	18	04	AT	
0S	00	0N	12	04	AT	
0S	00	04	12	04	AT	
0S	00	0E	12	04	AT	
0S	00	07	12	04	AT	
0S	00	0F	12	04	AT	
0S	00	02	12	04	AT	
0S	00	0N	12	08	AT	
0S	00	07	12	08	AT	
0S	00	04	12	08	AT	
0S	01	08	18	08	AT	
0S	01	08	18	04	AT	
0S	01	05	18	08	AT	
0S	01	05	18	04	AT	
0S	01	03	18	08	AT	
0S	01	03	18	04	AT	
0S	01	0W	18	08	AT	
0S	01	0W	18	04	AT	
0S	01	0V	18	08	AT	
0S	01	0V	18	04	AT	
0S	01	0T	18	08	AT	
0S	01	0T	18	04	AT	
0S	01	0S	18	08	AT	
0S	01	0S	18	04	AT	
0S	00	08	12	08	AT	
0S	00	03	12	08	AT	
0S	00	05	12	08	AT	
0S	00	05	12	04	AT	
0S	00	0E	12	08	AT	
0S	00	08	12	04	AT	
0S	00	03	12	04	AT	
0S	00	0A	12	04	AT	
0S	00	0N	12	04	AQ	
0S	00	0K	12	04	AQ	
0S	00	0J	12	04	AQ	
0S	00	09	12	04	AQ	
0S	00	04	12	04	AQ	
0S	00	08	12	04	AQ	
0S	00	03	12	04	AQ	
0S	00	0E	12	04	AQ	
0S	00	07	12	04	AQ	
0S	00	01	12	04	AQ	
0S	00	0Y	12	04	AQ	
0S	00	0V	12	04	AQ	
0S	00	0U	12	04	AQ	
0S	00	0T	12	04	AQ	
0S	00	0S	12	04	AQ	
0S	00	0Q	12	04	AQ	
0S	00	0P	12	04	AQ	
0S	00	02	12	04	AQ	
0S	00	0F	12	04	AQ	
0S	00	0A	12	04	AQ	
0S	01	0N	18	08	AQ	
0S	01	0N	18	04	AQ	
0S	01	0K	18	08	AQ	
0S	01	0K	18	04	AQ	
0S	01	0J	18	08	AQ	
0S	01	0J	18	04	AQ	
0S	01	09	18	08	AQ	
0S	01	09	18	04	AQ	
0S	01	07	18	08	AQ	
0S	01	07	18	04	AQ	
0S	01	04	18	08	AQ	
0S	01	04	18	04	AQ	
0S	01	01	18	08	AQ	
0S	01	01	18	04	AQ	
0S	00	0N	12	08	AQ	
0S	00	0K	12	08	AQ	
0S	00	0J	12	08	AQ	
0S	00	09	12	08	AQ	
0S	00	07	12	08	AQ	
0S	00	04	12	08	AQ	
0S	01	0E	18	04	AQ	
0S	01	08	18	08	AQ	
0S	01	08	18	04	AQ	
0S	01	06	18	08	AQ	
0S	01	06	18	04	AQ	
0S	01	05	18	08	AQ	
0S	01	05	18	04	AQ	
0S	01	03	18	08	AQ	
0S	01	03	18	04	AQ	
0S	01	02	18	08	AQ	
0S	01	02	18	04	AQ	
0S	01	0Y	18	08	AQ	
0S	01	0Y	18	04	AQ	
0S	01	0W	18	08	AQ	
0S	01	0W	18	04	AQ	
0S	01	0V	18	08	AQ	
0S	01	0V	18	04	AQ	
0S	01	0U	18	08	AQ	
0S	01	0U	18	04	AQ	
0S	01	0T	18	08	AQ	
0S	01	0T	18	04	AQ	
0S	01	0S	18	08	AQ	
0S	01	0S	18	04	AQ	
0S	00	08	12	08	AQ	
0S	00	03	12	08	AQ	
0S	00	02	12	08	AQ	
0S	00	0Y	12	08	AQ	
0S	00	0V	12	08	AQ	
0S	00	0U	12	08	AQ	
0S	00	0T	12	08	AQ	
0S	00	0S	12	08	AQ	
0S	00	0Q	12	08	AQ	
0S	00	0P	12	08	AQ	
0S	00	06	12	08	AQ	
0S	00	06	12	04	AQ	
0S	00	05	12	08	AQ	
0S	00	05	12	04	AQ	
0S	00	0F	12	08	AQ	
0S	00	0E	12	08	AQ	
0S	00	01	12	08	AQ	
0S	00	0N	12	04	AR	
0S	00	04	12	04	AR	
0S	00	08	12	04	AR	
0S	00	03	12	04	AR	
0S	00	0E	12	04	AR	
0S	00	07	12	04	AR	
0S	00	0W	12	04	AR	
0S	00	0V	12	04	AR	
0S	00	0T	12	04	AR	
0S	00	0S	12	04	AR	
0S	00	0Q	12	04	AR	
0S	00	0P	12	04	AR	
0S	00	0F	12	04	AR	
0S	00	02	12	04	AR	
0S	00	0A	12	04	AR	
0S	01	0N	18	08	AR	
0S	01	0N	18	04	AR	
0S	01	04	18	08	AR	
0S	01	04	18	04	AR	
0S	00	0N	12	08	AR	
0S	00	07	12	08	AR	
0S	00	04	12	08	AR	
0S	01	08	18	08	AR	
0S	01	08	18	04	AR	
0S	01	05	18	08	AR	
0S	01	05	18	04	AR	
0S	01	03	18	08	AR	
0S	01	03	18	04	AR	
0S	01	0W	18	08	AR	
0S	01	0W	18	04	AR	
0S	01	0V	18	08	AR	
0S	01	0V	18	04	AR	
0S	01	0T	18	08	AR	
0S	01	0T	18	04	AR	
0S	01	0S	18	08	AR	
0S	01	0S	18	04	AR	
0S	00	08	12	08	AR	
0S	00	03	12	08	AR	
0S	00	0W	12	08	AR	
0S	00	0V	12	08	AR	
0S	00	0T	12	08	AR	
0S	00	0S	12	08	AR	
0S	00	0Q	12	08	AR	
0S	00	0P	12	08	AR	
0S	00	05	12	08	AR	
0S	00	05	12	04	AR	
0S	00	0E	12	08	AR	
0S	01	0N	18	08	AP	
0S	01	0N	18	04	AP	
0S	01	0K	18	08	AP	
0S	01	0K	18	04	AP	
0S	01	0J	18	08	AP	
0S	01	0J	18	04	AP	
0S	01	09	18	08	AP	
0S	01	09	18	04	AP	
0S	01	07	18	08	AP	
0S	01	07	18	04	AP	
0S	01	04	18	08	AP	
0S	01	04	18	04	AP	
0S	01	01	18	08	AP	
0S	01	01	18	04	AP	
0S	00	0N	12	04	AP	
0S	00	0K	12	04	AP	
0S	00	0J	12	04	AP	
0S	00	09	12	04	AP	
0S	00	04	12	04	AP	
0S	00	0N	12	08	AP	
0S	00	0K	12	08	AP	
0S	00	0J	12	08	AP	
0S	00	09	12	08	AP	
0S	00	07	12	08	AP	
0S	00	04	12	08	AP	
0S	01	0E	18	04	AP	
0S	00	08	12	04	AP	
0S	00	03	12	04	AP	
0S	00	02	12	04	AP	
0S	01	08	18	08	AP	
0S	01	08	18	04	AP	
0S	01	06	18	08	AP	
0S	01	06	18	04	AP	
0S	01	05	18	08	AP	
0S	01	05	18	04	AP	
0S	01	03	18	08	AP	
0S	01	03	18	04	AP	
0S	01	02	18	08	AP	
0S	01	02	18	04	AP	
0S	01	0Y	18	08	AP	
0S	01	0Y	18	04	AP	
0S	01	0W	18	08	AP	
0S	01	0W	18	04	AP	
0S	01	0V	18	08	AP	
0S	01	0V	18	04	AP	
0S	01	0U	18	08	AP	
0S	01	0U	18	04	AP	
0S	01	0T	18	08	AP	
0S	01	0T	18	04	AP	
0S	01	0S	18	08	AP	
0S	01	0S	18	04	AP	
0S	00	0E	12	04	AP	
0S	00	07	12	04	AP	
0S	00	01	12	04	AP	
0S	00	08	12	08	AP	
0S	00	03	12	08	AP	
0S	00	02	12	08	AP	
0S	00	0Y	12	08	AP	
0S	00	0V	12	08	AP	
0S	00	0U	12	08	AP	
0S	00	0T	12	08	AP	
0S	00	0S	12	08	AP	
